record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,aktuelle_bedingungen_4maltag_timestamp,ema_light,currentight,check_mixedlight,additional_light,currentmood,anxious,elated,sad,angry,irritable,energetic,kss_instr,kss,uuid_4,startdate_4,enddate_4,scheduledate_4,status_4,supplementaldata_4,serializedresult_4,aktuelle_bedingungen_4maltag_complete
19,,,BAUA_S018,,,,,,,,,,,,,,,,,,,,,,
19,aktuelle_bedingungen_4maltag,1,,"[not completed]",,,,,,,,,,,,,,,,,,,,,0
19,aktuelle_bedingungen_4maltag,2,,,1,O,0,,1,3,2,0,0,0,0,1,5,8FE1903D-B576-4BB5-B265-B03CFE30E367,"2025-09-08 20:05:18","2025-09-08 20:06:17",,1,"{    ""devicemodel"" : ""iPhone"",    ""percentComplete"" : ""100"",    ""deviceversion"" : ""18.6.2"",    ""appversion"" : ""2.21.0"",    ""devicemanufacturer"" : ""Apple"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""deviceplatform"" : ""iOS"",    ""syncdate"" : ""2025-09-08 20:06:18"",    ""configversion"" : ""5""  }",result.zip,0
19,aktuelle_bedingungen_4maltag,3,,,1,E,1,L,1,1,0,1,2,4,1,1,6,DD527F3E-83E0-464A-A005-8843D2C55406,"2025-09-09 11:00:49","2025-09-09 11:01:27",,1,"{    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""configversion"" : ""5"",    ""devicemodel"" : ""iPhone"",    ""deviceversion"" : ""18.6.2"",    ""percentComplete"" : ""100"",    ""syncdate"" : ""2025-09-09 11:01:27"",    ""appversion"" : ""2.21.0"",    ""devicemanufacturer"" : ""Apple"",    ""deviceplatform"" : ""iOS""  }",result.zip,0
19,aktuelle_bedingungen_4maltag,4,,,1,E,1,L,1,1,1,1,1,4,1,1,5,6822DCA7-BF89-4A59-9C7E-D5AAB89D3320,"2025-09-09 14:37:43","2025-09-09 14:38:09",,1,"{    ""syncdate"" : ""2025-09-09 14:38:09"",    ""deviceplatform"" : ""iOS"",    ""appversion"" : ""2.21.0"",    ""devicemanufacturer"" : ""Apple"",    ""configversion"" : ""5"",    ""percentComplete"" : ""100"",    ""devicemodel"" : ""iPhone"",    ""deviceversion"" : ""18.6.2"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19""  }",result.zip,0
19,aktuelle_bedingungen_4maltag,5,,,1,L,0,,1,0,3,0,0,0,1,1,3,C5700D77-2E92-408D-A958-8CDE0AF4222B,"2025-09-09 21:13:03","2025-09-09 21:13:35",,1,"{    ""devicemanufacturer"" : ""Apple"",    ""syncdate"" : ""2025-09-09 21:13:35"",    ""appversion"" : ""2.21.0"",    ""deviceversion"" : ""18.6.2"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""percentComplete"" : ""100"",    ""configversion"" : ""5"",    ""devicemodel"" : ""iPhone"",    ""deviceplatform"" : ""iOS""  }",result.zip,0
19,aktuelle_bedingungen_4maltag,6,,,1,S,0,,1,0,0,0,0,0,2,1,2,D5CEABA2-FDA6-4E5A-BEF3-F5B786DF8500,"2025-09-09 21:13:49","2025-09-09 21:14:06",,1,"{    ""devicemodel"" : ""iPhone"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""devicemanufacturer"" : ""Apple"",    ""deviceplatform"" : ""iOS"",    ""appversion"" : ""2.21.0"",    ""percentComplete"" : ""100"",    ""deviceversion"" : ""18.6.2"",    ""configversion"" : ""5"",    ""syncdate"" : ""2025-09-09 21:14:06""  }",result.zip,0
19,aktuelle_bedingungen_4maltag,7,,,1,I,0,,1,0,0,0,0,2,1,1,3,8DEA5E92-A4F8-49E2-ADB3-503CF526272E,"2025-09-10 11:29:37","2025-09-10 11:29:58",,1,"{    ""devicemodel"" : ""iPhone"",    ""deviceversion"" : ""18.6.2"",    ""devicemanufacturer"" : ""Apple"",    ""configversion"" : ""5"",    ""appversion"" : ""2.21.0"",    ""syncdate"" : ""2025-09-10 11:29:58"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""percentComplete"" : ""100"",    ""deviceplatform"" : ""iOS""  }",result.zip,0
19,aktuelle_bedingungen_4maltag,8,,,1,L,1,E,1,0,1,0,0,2,1,1,6,69C24422-DDFC-4A60-BF60-670EA7766710,"2025-09-11 11:24:57","2025-09-11 11:25:25",,1,"{    ""configversion"" : ""5"",    ""devicemanufacturer"" : ""Apple"",    ""syncdate"" : ""2025-09-11 11:25:25"",    ""deviceplatform"" : ""iOS"",    ""deviceversion"" : ""18.6.2"",    ""devicemodel"" : ""iPhone"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""appversion"" : ""2.21.0"",    ""percentComplete"" : ""100""  }",result.zip,0
19,aktuelle_bedingungen_4maltag,9,,,1,O,0,,1,0,2,0,0,0,2,1,4,E7FADC58-D9C1-4AD4-B9F1-2BCF3E37D597,"2025-09-11 14:29:44","2025-09-11 14:30:05",,1,"{    ""devicemanufacturer"" : ""Apple"",    ""deviceversion"" : ""18.6.2"",    ""devicemodel"" : ""iPhone"",    ""configversion"" : ""5"",    ""appversion"" : ""2.21.0"",    ""syncdate"" : ""2025-09-11 14:30:05"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""percentComplete"" : ""100"",    ""deviceplatform"" : ""iOS""  }",result.zip,0
19,aktuelle_bedingungen_4maltag,10,,,1,E,1,I,1,0,1,0,0,2,0,1,4,A34C90E1-77CB-4F07-B4B6-E01B6E0A5AED,"2025-09-11 17:37:28","2025-09-11 17:37:49",,1,"{    ""appversion"" : ""2.21.0"",    ""devicemodel"" : ""iPhone"",    ""deviceversion"" : ""18.6.2"",    ""devicemanufacturer"" : ""Apple"",    ""percentComplete"" : ""100"",    ""syncdate"" : ""2025-09-11 17:37:49"",    ""deviceplatform"" : ""iOS"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""configversion"" : ""5""  }",result.zip,0
19,aktuelle_bedingungen_4maltag,11,,,1,L,1,E,1,0,4,0,0,0,3,1,5,90B56464-A296-4C99-8882-C7135C2E8404,"2025-09-11 22:20:00","2025-09-11 22:20:21",,1,"{    ""devicemanufacturer"" : ""Apple"",    ""deviceplatform"" : ""iOS"",    ""percentComplete"" : ""100"",    ""syncdate"" : ""2025-09-11 22:20:21"",    ""deviceversion"" : ""18.6.2"",    ""devicemodel"" : ""iPhone"",    ""appversion"" : ""2.21.0"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""configversion"" : ""5""  }",result.zip,0
19,aktuelle_bedingungen_4maltag,12,,,1,I,1,E,1,0,2,0,0,1,2,1,4,35913474-EA61-420E-A4B8-90D4BC611394,"2025-09-12 11:12:13","2025-09-12 11:12:37",,1,"{    ""deviceplatform"" : ""iOS"",    ""deviceversion"" : ""18.6.2"",    ""configversion"" : ""5"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""syncdate"" : ""2025-09-12 16:09:12"",    ""appversion"" : ""2.21.0"",    ""devicemodel"" : ""iPhone"",    ""percentComplete"" : ""100"",    ""devicemanufacturer"" : ""Apple""  }",result_aktuelle_bedingungen_4maltag_19_12.zip,0
19,aktuelle_bedingungen_4maltag,13,,,1,I,1,E,1,0,1,0,0,2,0,1,7,2036F0AC-98E3-4DFC-9157-8AD9AF8CF612,"2025-09-12 16:09:14","2025-09-12 16:09:38",,1,"{    ""devicemodel"" : ""iPhone"",    ""deviceplatform"" : ""iOS"",    ""deviceversion"" : ""18.6.2"",    ""devicemanufacturer"" : ""Apple"",    ""syncdate"" : ""2025-09-12 16:09:39"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""configversion"" : ""5"",    ""percentComplete"" : ""100"",    ""appversion"" : ""2.21.0""  }",result_aktuelle_bedingungen_4maltag_19_13.zip,0
19,aktuelle_bedingungen_4maltag,14,,,1,I,0,,1,0,0,0,0,0,0,1,3,C06125E9-973A-459D-A79D-EE77218EF791,"2025-09-12 18:57:43","2025-09-12 18:58:01",,1,"{    ""percentComplete"" : ""100"",    ""devicemanufacturer"" : ""Apple"",    ""appversion"" : ""2.21.0"",    ""devicemodel"" : ""iPhone"",    ""deviceversion"" : ""18.6.2"",    ""configversion"" : ""5"",    ""syncdate"" : ""2025-09-12 18:58:01"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""deviceplatform"" : ""iOS""  }",result_aktuelle_bedingungen_4maltag_19_14.zip,0
19,aktuelle_bedingungen_4maltag,15,,,1,I,0,,1,0,4,0,0,0,4,1,1,9EB82702-7FCF-479F-BA18-4B0373158427,"2025-09-13 11:04:16","2025-09-13 11:04:36",,1,"{    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""syncdate"" : ""2025-09-13 11:04:36"",    ""deviceversion"" : ""18.6.2"",    ""devicemodel"" : ""iPhone"",    ""percentComplete"" : ""100"",    ""devicemanufacturer"" : ""Apple"",    ""configversion"" : ""5"",    ""deviceplatform"" : ""iOS"",    ""appversion"" : ""2.21.0""  }",result_aktuelle_bedingungen_4maltag_19_15.zip,0
19,aktuelle_bedingungen_4maltag,16,,,1,E,0,,1,0,0,0,0,0,1,1,4,DF4D4B92-D903-43EC-A554-817526C0AD7C,"2025-09-13 22:06:04","2025-09-13 22:06:34",,1,"{    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""devicemodel"" : ""iPhone"",    ""devicemanufacturer"" : ""Apple"",    ""deviceplatform"" : ""iOS"",    ""appversion"" : ""2.21.0"",    ""syncdate"" : ""2025-09-13 22:06:34"",    ""configversion"" : ""5"",    ""deviceversion"" : ""18.6.2"",    ""percentComplete"" : ""100""  }",result_aktuelle_bedingungen_4maltag_19_16.zip,0
19,aktuelle_bedingungen_4maltag,17,,,1,I,1,E,1,0,3,0,0,0,3,1,3,534A14E0-9CC5-412E-9D42-45F0073E7779,"2025-09-13 22:06:36","2025-09-13 22:07:01",,1,"{    ""deviceversion"" : ""18.6.2"",    ""deviceplatform"" : ""iOS"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""devicemanufacturer"" : ""Apple"",    ""configversion"" : ""5"",    ""percentComplete"" : ""100"",    ""appversion"" : ""2.21.0"",    ""devicemodel"" : ""iPhone"",    ""syncdate"" : ""2025-09-13 22:07:01""  }",result_aktuelle_bedingungen_4maltag_19_17.zip,0
19,aktuelle_bedingungen_4maltag,18,,,1,I,0,,1,0,3,0,0,0,2,1,4,89E31BBE-93DD-499B-B94C-C949700D5B98,"2025-09-13 22:07:03","2025-09-13 22:07:26",,1,"{    ""percentComplete"" : ""100"",    ""devicemanufacturer"" : ""Apple"",    ""devicemodel"" : ""iPhone"",    ""deviceversion"" : ""18.6.2"",    ""appversion"" : ""2.21.0"",    ""configversion"" : ""5"",    ""syncdate"" : ""2025-09-13 22:07:26"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""deviceplatform"" : ""iOS""  }",result_aktuelle_bedingungen_4maltag_19_18.zip,0
19,aktuelle_bedingungen_4maltag,19,,,1,I,1,E,1,0,2,0,0,0,2,1,4,EAEFF669-D770-462D-828B-67CA368EE304,"2025-09-15 12:15:03","2025-09-15 12:15:28",,1,"{    ""devicemanufacturer"" : ""Apple"",    ""deviceplatform"" : ""iOS"",    ""percentComplete"" : ""100"",    ""syncdate"" : ""2025-09-15 12:15:28"",    ""deviceversion"" : ""18.6.2"",    ""appversion"" : ""2.21.0"",    ""devicemodel"" : ""iPhone"",    ""configversion"" : ""5"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19""  }",result_aktuelle_bedingungen_4maltag_19_19.zip,0
19,aktuelle_bedingungen_4maltag,20,,,1,I,1,E,1,0,4,0,0,0,4,1,3,EA1A74D5-78A0-4C1E-BE19-F80DC4173A49,"2025-09-15 14:01:25","2025-09-15 14:01:41",,1,"{    ""deviceversion"" : ""18.6.2"",    ""syncdate"" : ""2025-09-15 14:01:41"",    ""appversion"" : ""2.21.0"",    ""deviceplatform"" : ""iOS"",    ""percentComplete"" : ""100"",    ""devicemodel"" : ""iPhone"",    ""configversion"" : ""5"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""devicemanufacturer"" : ""Apple""  }",result_aktuelle_bedingungen_4maltag_19_20.zip,0
19,aktuelle_bedingungen_4maltag,21,,,1,I,1,E,1,0,2,0,0,0,2,1,4,1C0895CF-49E2-4A21-AD0D-2C02A527BCA9,"2025-09-15 17:19:45","2025-09-15 17:20:14",,1,"{    ""percentComplete"" : ""100"",    ""deviceversion"" : ""18.6.2"",    ""appversion"" : ""2.21.0"",    ""syncdate"" : ""2025-09-15 17:20:14"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""deviceplatform"" : ""iOS"",    ""devicemanufacturer"" : ""Apple"",    ""configversion"" : ""5"",    ""devicemodel"" : ""iPhone""  }",result_aktuelle_bedingungen_4maltag_19_21.zip,0
