record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,trageprotokoll_timestamp,wearlog_type,wearlog_event,wearlog_off,reason,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,trageprotokoll_complete
19,,,BAUA_S018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,trageprotokoll,1,BAUA_S018,"[not completed]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,trageprotokoll,2,,,0,2,,,,"2025-09-08 23:51",,,,,,,,,,,,,,,,2783BE37-41BD-46E4-8D55-1748643B54B1,"2025-09-08 23:56:08","2025-09-08 23:56:47",,1,"{    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""appversion"" : ""2.21.0"",    ""configversion"" : ""2"",    ""deviceplatform"" : ""iOS"",    ""devicemanufacturer"" : ""Apple"",    ""devicemodel"" : ""iPhone"",    ""syncdate"" : ""2025-09-08 23:56:47"",    ""percentComplete"" : ""100"",    ""deviceversion"" : ""18.6.2""  }",result.zip,0
19,trageprotokoll,3,,,0,1,,,"2025-09-09 09:16",,,,,,,,,,,,,,,,,41A26E30-C810-48AC-BA53-27C545D531D0,"2025-09-09 09:20:04","2025-09-09 09:20:25",,1,"{    ""appversion"" : ""2.21.0"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""configversion"" : ""2"",    ""percentComplete"" : ""100"",    ""deviceversion"" : ""18.6.2"",    ""devicemodel"" : ""iPhone"",    ""syncdate"" : ""2025-09-09 09:20:25"",    ""devicemanufacturer"" : ""Apple"",    ""deviceplatform"" : ""iOS""  }",result.zip,0
19,trageprotokoll,4,,,0,0,"2025-09-09 17:23",1,,,,1,,1,,,,,,,,,,,,EBCE4FEA-3384-4610-9ADE-3BA66624890F,"2025-09-09 17:23:46","2025-09-09 17:24:05",,1,"{    ""devicemanufacturer"" : ""Apple"",    ""deviceversion"" : ""18.6.2"",    ""syncdate"" : ""2025-09-09 17:24:05"",    ""appversion"" : ""2.21.0"",    ""configversion"" : ""2"",    ""devicemodel"" : ""iPhone"",    ""percentComplete"" : ""100"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""deviceplatform"" : ""iOS""  }",result.zip,0
19,trageprotokoll,5,,,0,1,,,"2025-09-09 17:23",,,,,,,,,,,,,,,,,97767E7C-EC22-43B1-9540-6DDE9F13333B,"2025-09-09 19:14:57","2025-09-09 19:15:01",,1,"{    ""devicemodel"" : ""iPhone"",    ""deviceversion"" : ""18.6.2"",    ""configversion"" : ""2"",    ""devicemanufacturer"" : ""Apple"",    ""appversion"" : ""2.21.0"",    ""syncdate"" : ""2025-09-09 19:15:01"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""percentComplete"" : ""100"",    ""deviceplatform"" : ""iOS""  }",result.zip,0
19,trageprotokoll,6,,,0,2,,,,"2025-09-09 23:11",,,,,,,,,,,,,,,,5E85710F-7AD7-4D16-968F-48FCADE31A20,"2025-09-09 23:11:08","2025-09-09 23:11:14",,1,"{    ""syncdate"" : ""2025-09-09 23:11:14"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""devicemodel"" : ""iPhone"",    ""appversion"" : ""2.21.0"",    ""deviceversion"" : ""18.6.2"",    ""percentComplete"" : ""100"",    ""deviceplatform"" : ""iOS"",    ""configversion"" : ""2"",    ""devicemanufacturer"" : ""Apple""  }",result.zip,0
19,trageprotokoll,7,,,0,1,,,"2025-09-10 08:22",,,,,,,,,,,,,,,,,C6DAC37A-52F4-4077-B709-831CB42D5264,"2025-09-10 08:22:25","2025-09-10 08:22:32",,1,"{    ""devicemanufacturer"" : ""Apple"",    ""percentComplete"" : ""100"",    ""syncdate"" : ""2025-09-10 08:22:33"",    ""appversion"" : ""2.21.0"",    ""devicemodel"" : ""iPhone"",    ""deviceversion"" : ""18.6.2"",    ""deviceplatform"" : ""iOS"",    ""configversion"" : ""2"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19""  }",result.zip,0
19,trageprotokoll,8,,,0,0,"2025-09-10 16:00",1,,,,1,,0,,,,,,,,,,,,C1FE4CAE-A11B-4689-B5E2-C67FF25F40B2,"2025-09-10 16:00:42","2025-09-10 16:01:41",,1,"{    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""deviceversion"" : ""18.6.2"",    ""configversion"" : ""2"",    ""appversion"" : ""2.21.0"",    ""syncdate"" : ""2025-09-10 16:01:41"",    ""percentComplete"" : ""100"",    ""deviceplatform"" : ""iOS"",    ""devicemodel"" : ""iPhone"",    ""devicemanufacturer"" : ""Apple""  }",result.zip,0
19,trageprotokoll,9,,,0,1,,,"2025-09-10 16:00",,,,,,,,,,,,,,,,,BA644EA8-B925-4E67-B4C6-D779E56A811D,"2025-09-10 19:01:26","2025-09-10 19:01:37",,1,"{    ""configversion"" : ""2"",    ""percentComplete"" : ""100"",    ""devicemodel"" : ""iPhone"",    ""syncdate"" : ""2025-09-10 19:01:37"",    ""appversion"" : ""2.21.0"",    ""deviceversion"" : ""18.6.2"",    ""deviceplatform"" : ""iOS"",    ""devicemanufacturer"" : ""Apple"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19""  }",result.zip,0
